disease,resistance_gene_count,susceptibility_gene_count,evidence_strength_score,temperature,humidity,soil_moisture,light,risk_level,risk_score
Early Blight,0,0,0.0,29.7,31.7,32.0,345.5,moderate,46.0
Late Blight,0,0,0.0,29.7,31.7,32.0,345.5,low,34.0
Fusarium Wilt,2,0,-2.0,29.7,31.7,32.0,345.5,low,28.0
Bacterial Spot,2,0,-1.6,29.7,31.7,32.0,345.5,low,28.0
Early Blight,0,0,0.0,26.6,31.8,25.9,814.9,moderate,46.0
Late Blight,1,0,-1.0,26.6,31.8,25.9,814.9,low,16.0
Fusarium Wilt,1,0,-1.0,26.6,31.8,25.9,814.9,low,28.0
Bacterial Spot,0,0,0.0,26.6,31.8,25.9,814.9,moderate,46.0
Early Blight,1,0,-0.6,22.8,40.6,86.6,470.3,moderate,40.0
Late Blight,1,0,-1.0,22.8,40.6,86.6,470.3,low,28.0
Fusarium Wilt,0,0,0.0,22.8,40.6,86.6,470.3,moderate,46.0
Bacterial Spot,0,0,0.0,22.8,40.6,86.6,470.3,low,34.0
Early Blight,0,0,0.0,37.4,55.7,54.2,1012.3,low,34.0
Late Blight,0,0,0.0,37.4,55.7,54.2,1012.3,low,34.0
Fusarium Wilt,1,0,-1.0,37.4,55.7,54.2,1012.3,low,28.0
Bacterial Spot,2,0,-1.6,37.4,55.7,54.2,1012.3,low,16.0
Early Blight,0,0,0.0,16.8,45.8,18.1,405.8,low,34.0
Late Blight,2,0,-1.6,16.8,45.8,18.1,405.8,low,28.0
Fusarium Wilt,2,0,-2.0,16.8,45.8,18.1,405.8,low,28.0
Bacterial Spot,0,0,0.0,16.8,45.8,18.1,405.8,low,34.0
Early Blight,1,0,-0.6,29.0,41.6,68.3,279.7,moderate,40.0
Late Blight,0,0,0.0,29.0,41.6,68.3,279.7,low,34.0
Fusarium Wilt,0,0,0.0,29.0,41.6,68.3,279.7,moderate,62.0
Bacterial Spot,0,0,0.0,29.0,41.6,68.3,279.7,moderate,46.0
Early Blight,1,0,-0.6,20.3,32.2,35.2,394.5,moderate,40.0
Late Blight,0,0,0.0,20.3,32.2,35.2,394.5,moderate,46.0
Fusarium Wilt,1,0,-1.0,20.3,32.2,35.2,394.5,low,16.0
Bacterial Spot,1,0,-1.0,20.3,32.2,35.2,394.5,low,16.0
Early Blight,1,0,-0.6,25.6,48.0,29.7,717.5,moderate,40.0
Late Blight,0,0,0.0,25.6,48.0,29.7,717.5,low,34.0
Fusarium Wilt,2,0,-2.0,25.6,48.0,29.7,717.5,moderate,44.0
Bacterial Spot,0,0,0.0,25.6,48.0,29.7,717.5,moderate,46.0
Early Blight,0,0,0.0,17.1,33.2,18.8,790.2,low,34.0
Late Blight,2,0,-1.6,17.1,33.2,18.8,790.2,low,28.0
Fusarium Wilt,1,0,-1.0,17.1,33.2,18.8,790.2,low,16.0
Bacterial Spot,0,0,0.0,17.1,33.2,18.8,790.2,low,34.0
Early Blight,0,0,0.0,34.8,30.8,67.7,849.9,low,34.0
Late Blight,1,0,-1.0,34.8,30.8,67.7,849.9,low,16.0
Fusarium Wilt,2,0,-2.0,34.8,30.8,67.7,849.9,low,28.0
Bacterial Spot,1,0,-1.0,34.8,30.8,67.7,849.9,low,16.0
Early Blight,0,0,0.0,35.1,47.9,50.0,296.5,low,34.0
Late Blight,1,0,-0.6,35.1,47.9,50.0,296.5,low,28.0
Fusarium Wilt,0,0,0.0,35.1,47.9,50.0,296.5,moderate,46.0
Bacterial Spot,1,0,-1.0,35.1,47.9,50.0,296.5,low,16.0
Early Blight,1,0,-0.6,27.4,82.9,52.4,100.6,moderate,56.0
Late Blight,1,0,-1.0,27.4,82.9,52.4,100.6,low,28.0
Fusarium Wilt,0,0,0.0,27.4,82.9,52.4,100.6,moderate,62.0
Bacterial Spot,2,0,-1.6,27.4,82.9,52.4,100.6,low,28.0
Early Blight,1,0,-0.6,35.2,94.4,16.9,634.6,moderate,40.0
Late Blight,0,0,0.0,35.2,94.4,16.9,634.6,moderate,46.0
Fusarium Wilt,2,0,-2.0,35.2,94.4,16.9,634.6,low,28.0
Bacterial Spot,1,0,-0.6,35.2,94.4,16.9,634.6,moderate,40.0
Early Blight,0,0,0.0,35.1,58.8,26.9,693.2,low,34.0
Late Blight,2,0,-1.6,35.1,58.8,26.9,693.2,low,16.0
Fusarium Wilt,0,0,0.0,35.1,58.8,26.9,693.2,moderate,46.0
Bacterial Spot,1,0,-1.0,35.1,58.8,26.9,693.2,low,16.0
Early Blight,1,0,-0.6,17.8,45.3,37.0,747.1,low,28.0
Late Blight,2,0,-1.6,17.8,45.3,37.0,747.1,low,28.0
Fusarium Wilt,1,0,-1.0,17.8,45.3,37.0,747.1,low,28.0
Bacterial Spot,0,0,0.0,17.8,45.3,37.0,747.1,low,34.0
Early Blight,1,0,-0.6,16.6,46.2,63.5,335.7,low,28.0
Late Blight,0,0,0.0,16.6,46.2,63.5,335.7,moderate,46.0
Fusarium Wilt,1,0,-1.0,16.6,46.2,63.5,335.7,low,28.0
Bacterial Spot,1,0,-0.6,16.6,46.2,63.5,335.7,low,28.0
Early Blight,0,0,0.0,17.2,59.3,43.9,613.7,low,34.0
Late Blight,0,0,0.0,17.2,59.3,43.9,613.7,moderate,46.0
Fusarium Wilt,2,0,-2.0,17.2,59.3,43.9,613.7,low,28.0
Bacterial Spot,1,0,-1.0,17.2,59.3,43.9,613.7,low,16.0
Early Blight,1,0,-0.6,20.7,42.9,45.9,564.1,moderate,40.0
