association_id,gene_symbol,gene_id,target_condition,pathogen_scientific_name,disease_category,effect_type,conferred_phenotype,risk_modifier_direction,base_genomic_protection_score,environmental_interaction,evidence_level,primary_pmid,primary_doi
ASSOC_TOMV_TM2_01,Tm-2^2,Solyc09g007010,"Tomato Mosaic Virus (ToMV) & Tobacco Mosaic Virus (TMV)",Tomato mosaic virus / Tobacco mosaic virus (Tobamovirus),VIRAL,CONFERRED_RESISTANCE,"Durable dominant immunity preventing systemic viral movement and leaf mosaic/necrosis symptoms.",PROTECTIVE,0.95,"Stable across wide greenhouse temperature ranges (20-32°C); durable against field resistance breakdown.",LEVEL_1_DEFINITIVE,16167765,10.1094/MPMI-18-0947
ASSOC_TYLCV_TY1_01,Ty-1 / Ty-3,Solyc06g051190,Tomato Yellow Leaf Curl Disease (TYLCD),Tomato yellow leaf curl virus (Begomovirus),VIRAL,CONFERRED_RESISTANCE,"Suppresses viral replication and symptom severity through enhanced cytosine methylation and siRNA viral gene silencing.",PROTECTIVE,0.85,"Vector pressure (Bemisia tabaci whiteflies) at temperatures >28°C increases inoculation load; heterozygous Ty-1/ty-1 shows mild symptoms under extreme whitefly pressure.",LEVEL_1_DEFINITIVE,23555294,10.1371/journal.pgen.1003399
ASSOC_FOL_I2_01,I-2,Solyc11g071430,Fusarium Vascular Wilt (Race 2),Fusarium oxysporum f. sp. lycopersici race 2,FUNGAL,CONFERRED_RESISTANCE,"Monogenic dominant resistance preventing xylem vessel colonization and vascular browning/wilting.",PROTECTIVE,0.90,"Soil temperatures between 25-28°C highly favor Fusarium infection in susceptible plants; resistant plants maintain vascular integrity.",LEVEL_1_DEFINITIVE,9632386,10.1126/science.280.5371.1916
ASSOC_VERT_VE1_01,Ve1,Solyc09g005080,Verticillium Wilt (Race 1),Verticillium dahliae race 1 / Verticillium albo-atrum,FUNGAL,CONFERRED_RESISTANCE,"Cell surface LRR-receptor recognition of Ave1 effector; induces PR gene expression and prevents vascular wilt.",PROTECTIVE,0.92,"Disease manifestation is elevated in cool soils (20-24°C) with moist conditions.",LEVEL_1_DEFINITIVE,11230698,10.1126/science.1058413
ASSOC_BAC_PTO_01,Pto,Solyc05g013320,Bacterial Speck Disease,Pseudomonas syringae pv. tomato,BACTERIAL,CONFERRED_RESISTANCE,"Rapid hypersensitive response (HR) and local cell death restricting bacterial multiplication in stomata and apoplast.",PROTECTIVE,0.88,"Prolonged leaf wetness (>90% humidity) and cool temperatures (18-24°C) trigger severe bacterial speck outbreaks in susceptible crops.",LEVEL_1_DEFINITIVE,8248781,10.1126/science.8248781
ASSOC_LATEBLIGHT_PH3_01,Ph-3,Solyc09g092310,Late Blight,Phytophthora infestans (Oomycete),OOMYCETE,CONFERRED_RESISTANCE,"Strong broad-spectrum foliar and fruit protection against multiple aggressive Phytophthora infestans lineages (US-22, US-23, T30-4).",PROTECTIVE,0.90,"Extreme disease risk under high relative humidity (>85%) and moderate temperatures (15-22°C). Ph-3 markedly dampens sporangial sporulation.",LEVEL_1_DEFINITIVE,24158498,10.1007/s00122-013-2206-0
ASSOC_TSWV_SW5B_01,Sw-5b,Solyc09g098130,Tomato Spotted Wilt Virus (TSWV),Tomato spotted wilt orthotospovirus (Orthotospovirus),VIRAL,CONFERRED_RESISTANCE,"Immune recognition of viral movement protein NSm triggering systemic protection and preventing lethal necrotic collapse.",PROTECTIVE,0.94,"Thrips feeding behavior at 24-30°C governs vector transmission; Sw-5b remains robust across typical temperate/tropical greenhouse climates.",LEVEL_1_DEFINITIVE,11043474,10.1094/MPMI.2000.13.10.1130
ASSOC_LEAFMOLD_CF9_01,Cf-9,Solyc01g006550,Leaf Mold / Cladosporium Leaf Spot,Passalora fulva (syn. Cladosporium fulvum),FUNGAL,CONFERRED_RESISTANCE,"Receptor-mediated recognition of Avr9 elicitor protein triggering localized hypersensitive necrotic flecking and fungal arrest.",PROTECTIVE,0.86,"Leaf mold proliferates rapidly in greenhouse environments with relative humidity >80% and poor air ventilation.",LEVEL_1_DEFINITIVE,7973631,10.126/science.7973631
ASSOC_POWDERY_MLO_01,ol-2 / SlMlo1,Solyc04g007050,Powdery Mildew,Oidium neolycopersici,FUNGAL,CONFERRED_RESISTANCE,"Recessive loss of susceptibility factor preventing fungal appressorium penetration through papilla formation.",PROTECTIVE,0.88,"Powdery mildew thrives in moderate temperature (20-25°C) and moderate relative humidity (60-80%); mutant ol-2 plants show total immunity.",LEVEL_1_DEFINITIVE,18052880,10.1094/MPMI-21-1-0030
ASSOC_NEMATODE_MI12_01,Mi-1.2,Solyc06g008650,Root-Knot Nematode & Potato Aphid Damage,Meloidogyne incognita / Macrosiphum euphorbiae,PEST_NEMATODE,CONFERRED_RESISTANCE,"Localized cell death at nematode feeding sites preventing giant cell formation and galling; repels aphid stylet probing.",PROTECTIVE,0.87,"CRITICAL: Mi-1.2 resistance breaks down and becomes ineffective at soil/ambient temperatures above 28°C (82.4°F).",LEVEL_1_DEFINITIVE,9707531,10.1105/tpc.10.8.1307
ASSOC_RIPENING_GLK2_01,u / SlGLK2,Solyc10g008160,Uniform Ripening / Fruit Quality Trait,N/A (Agronomic/Morphological Trait),AGRONOMIC_TRAIT,AGRONOMIC_TRAIT,"Eliminates green shoulder in ripening fruit producing uniform color; lowers chloroplast abundance and reduces final sugars/carotenoids by 15-20%.",NEUTRAL,0.00,"Solar radiation and temperature influence fruit ripening uniformity and color development.",LEVEL_1_DEFINITIVE,22745430,10.1126/science.1222218
